CDSCode,District,School,Street,StreetAbr,City,Zip Code,State,Phone,OpenDate,Charter,DOCType,SOC,SOCType,GSoffered,Latitude,Longitude,LastUpdate,2016-2017 Total Enrollment,2015-2016 ELA Current Status (avg. distance from level 3),2015-2016 ELA Prior Status (avg. Distance from level 3),2015-2016 ELA Status Level,2015-2016 Math Current Status (avg. distance from level 3),2015-2016 Math Prior Status (avg. Distance from level 3),2015-2016 Math Change,2016-2017 English Language Learners,2016-2017 % English Language Learners,2016-2017 FRPM Count,2016-2017 % FRPM Count,2015-2016 Enrollment Grades 10-12,2015-2016 AP Number Tested,2015-2016 % AP Number Tested,2015-2016 AP Score = 1,2015-2016 AP Score = 2,2015-2016 AP Score = 3,2015-2016 AP Score = 4,2015-2016 AP Score = 5,% 2015-2016 AP Score = 1,% 2015-2016 AP Score = 2,% 2015-2016 AP Score = 3,% 2015-2016 AP Score = 4,% 2015-2016 AP Score = 5
37683870105825,Solana Beach Elementary,Solana Pacific Elementary,3901 Townsgate Drive,3901 Townsgate Dr.,San Diego,92130-2584,CA,(858) 794-4500,8/9/2004,N,Elementary School District,,Elementary Schools (Public),4-6,32.952072,-117.23132,6/18/2015,571,96.0,79.6,5,74.8,59.2,15.6,54,9%,21,4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681970132290,La Mesa-Spring Valley,La Mesa Arts Academy,4200 Parks Avenue,4200 Parks Ave.,La Mesa,91942-6212,CA,(619) 668-5730,8/13/2015,N,Elementary School District,,Elementary Schools (Public),4-8,32.75519,-117.03025,8/17/2015,1073,30.1,0.0,4,-13.6,0,0,37,3%,391,36%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37735513731163,Carlsbad Unified,Carlsbad Seaside Academy,3557 Monroe Street,3557 Monroe St.,Carlsbad,92008-2785,CA,(760) 331-5299,,N,Unified School District,,Alternative Schools of Choice,9-12,33.162338,-117.32762,6/18/2015,48,0.0,0.0,0,0,0,0,N/A,N/A,5,10%,38,0,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37682133730991,Mountain Empire Unified,Hillside Junior/Senior High,31360 Highway 94,31360 Highway 94,Campo,91906-3154,CA,(619) 478-2735,,N,Unified School District,,Alternative Schools of Choice,7-12,32.624928,-116.47458,6/18/2015,9,0.0,0.0,0,0,0,0,3,33%,4,44%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37683040131250,Ramona City Unified,Mountain Valley Academy,1010 Ramona Street,1010 Ramona St.,Ramona,92065-3222,CA,(760) 787-3600,,N,Unified School District,,Alternative Schools of Choice,K-12,33.026764,-116.87845,6/18/2015,214,72.6,44.8,5,46.7,33.6,13.2,2,1%,30,14%,64,0,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37683040102178,Ramona City Unified,Future Bound Independent Study Secondary,720 Ninth Street,720 Ninth St.,Ramona,92065-2348,CA,(760) 787-2068,,N,Unified School District,,Alternative Schools of Choice,7-12,33.039022,-116.86397,6/18/2015,35,0.0,0.0,0,0,0,0,3,9%,7,20%,41,0,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37683040131268,Ramona City Unified,Ramona Community Montessori,1010 Ramona Street,1010 Ramona St.,Ramona,92065-3222,CA,(760) 787-3600,,N,Unified School District,,Alternative Schools of Choice,K-6,33.026764,-116.87845,6/18/2015,243,13.8,16.4,4,-2.9,-10.9,8,17,7%,63,26%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37683380107482,San Diego Unified,San Diego Metro Career and Tech,"7250 Mesa College Drive, Room L-502","7250 Mesa College Dr., Rm. L-502",San Diego,92111-4902,CA,(619) 388-2299,,N,Unified School District,,Alternative Schools of Choice,9-12,32.803695,-117.16498,3/27/2017,126,83.8,42.7,0,-44.2,-81.7,37.5,8,6%,55,44%,83,3,4%,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A
37683380120410,San Diego Unified,iHigh Virtual Academy,3939 Conde Street,3939 Conde St.,San Diego,92110-3012,CA,(619) 764-5440,,N,Unified School District,,Alternative Schools of Choice,9-12,32.751221,-117.19481,3/27/2017,36,0.0,0.0,0,0,0,0,1,3%,10,28%,40,3,8%,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A
37737913730793,San Marcos Unified,Foothills High,158 Cassou Road,158 Cassou Rd.,San Marcos,92069-9702,CA,(760) 290-2544,,N,Unified School District,,Alternative Schools of Choice,9-12,33.180651,-117.15868,6/18/2015,53,N/A,N/A,N/A,N/A,N/A,N/A,7,13%,32,60%,69,2,3%,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A
37756143731601,Valley Center-Pauma Unified,Valley Center Prep,28751-U Cole Grade Road,28751-U Cole Grade Rd.,Valley Center,92082,CA,(760) 751-0455,,N,Unified School District,,Alternative Schools of Choice,K-12,33.236018,-117.02144,4/5/2017,60,-39.7,0.0,2,-116.3,0,0,3,5%,24,40%,37,1,3%,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A
37684520126300,Vista Unified,Vista Visions Academy,305 East Bobier,305 East Bobier,Vista,92084-3027,CA,(760) 724-4785,,N,Unified School District,,Alternative Schools of Choice,K-12,33.221233,-117.24118,3/1/2017,43,24.7,7.0,4,-48,-60.8,12.8,N/A,N/A,12,28%,18,0,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37683386039911,San Diego Unified,Longfellow K-8,5055 July Street,5055 July St.,San Diego,92110-1114,CA,(619) 276-4206,7/1/1980,N,Unified School District,,Elementary Schools (Public),K-8,32.783766,-117.18851,6/18/2015,802,20.1,5.0,4,0.8,-14.3,15.1,8,1%,331,41%,N/A,46,N/A,0,9,16,17,4,0%,20%,35%,37%,9%
37683386040000,San Diego Unified,Language Academy,4961 64th Street,4961 64th St.,San Diego,92115-2602,CA,(619) 287-1182,7/1/1980,N,Unified School District,,Elementary Schools (Public),K-8,32.768355,-117.06227,7/22/2015,994,23.0,10.4,4,-17.2,-25.5,8.3,232,23%,429,43%,N/A,50,N/A,0,11,16,17,6,0%,22%,32%,34%,12%
37681970134155,La Mesa-Spring Valley,Spring Valley Academy,3900 Conrad Drive,3900 Conrad Dr.,Spring Valley,91977-1437,CA,(619) 668-5750,8/16/2016,N,Elementary School District,,Elementary Schools (Public),4-8,32.750413,-116.98775,8/3/2016,773,N/A,N/A,N/A,N/A,N/A,N/A,129,17%,567,73%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681970132431,La Mesa-Spring Valley,"Science, Technology, Engineering, Arts, and Math Academy at La Presa",1001 Leland Street,1001 Leland St.,Spring Valley,91977-4819,CA,(619) 668-5720,8/13/2015,N,Elementary School District,,Elementary Schools (Public),4-8,32.712351,-117.00522,8/12/2015,926,-18.1,0.0,2,-29.7,0,0,251,27%,747,81%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37683796119341,San Ysidro Elementary,Ocean View Hills,4919 Del Sol Boulevard,4919 Del Sol Blvd.,San Diego,92154-8488,CA,(619) 661-0457,8/27/2001,N,Elementary School District,,Elementary Schools (Public),4-8,32.572128,-117.02577,7/20/2016,737,7.8,-5.2,3,-23.6,-33.2,9.7,217,29%,546,74%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37679676037535,Alpine Union Elementary,Joan MacQueen Middle,2001 Tavern Road,2001 Tavern Rd.,Alpine,91901-3129,CA,(619) 445-3245,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.825432,-116.77538,10/9/2015,556,-13.8,-31.9,2,-36.4,-46.1,9.7,25,4%,143,26%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37679916112890,Cajon Valley Union,Hillsdale Middle,1301 Brabham Street,1301 Brabham St.,El Cajon,92019-4374,CA,(619) 441-6156,8/28/1995,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.74944,-116.9324,8/25/2016,1506,30.6,23.6,4,-0.4,-15.1,14.7,113,8%,568,38%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37679910111005,Cajon Valley Union,Los Coches Creek Middle,9669 Dunbar Lane,9669 Dunbar Ln.,El Cajon,92021-2619,CA,(619) 441-5741,8/21/2006,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.858622,-116.81938,6/18/2015,607,5.9,-1.3,3,-23.9,-32.2,8.3,28,5%,257,42%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37679910119255,Cajon Valley Union,EJE Middle Academy,851 South Johnson Avenue,851 South Johnson Ave.,El Cajon,92020-5811,CA,(619) 401-4150,8/17/2009,Y,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.784935,-116.97083,4/7/2017,195,33.6,23.8,4,-10,-42.1,32.1,47,24%,165,85%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37679916037659,Cajon Valley Union,Greenfield Middle,1495 Greenfield Drive,1495 Greenfield Dr.,El Cajon,92021-3414,CA,(619) 588-3103,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.811048,-116.92834,12/23/2015,738,-46.2,-47.7,2,-99.2,-92.4,-6.9,151,20%,640,87%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37679916093207,Cajon Valley Union,Montgomery Middle,1570 Melody Lane,1570 Melody Ln.,El Cajon,92019-2015,CA,(619) 588-3107,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.79653,-116.92542,8/25/2016,828,-22.5,-35.7,2,-61,-68.8,7.8,184,22%,725,88%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37679916037626,Cajon Valley Union,Emerald Middle,1221 South Emerald Avenue,1221 South Emerald Ave.,El Cajon,92020-7315,CA,(619) 588-3097,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.778996,-116.96869,6/18/2015,537,-54.2,-49.8,2,-107.4,-91.9,-15.5,184,34%,517,96%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37679916037584,Cajon Valley Union,Cajon Valley Middle,550 Park Avenue,550 Park Ave.,El Cajon,92020-3922,CA,(619) 588-3092,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.798383,-116.95555,12/23/2015,929,-61.4,-68.6,2,-86,-98.2,12.1,332,36%,900,97%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37680980102590,Escondido Union,Bear Valley Middle,3003 Bear Valley Parkway,3003 Bear Valley Pkwy.,Escondido,92025-7618,CA,(760) 432-4060,8/23/2004,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,33.083711,-117.05634,6/18/2015,1079,-15.6,-15.0,2,-56.8,-60.5,3.7,262,24%,667,62%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37680986105944,Escondido Union,Rincon Middle,925 Lehner Avenue,925 Lehner Ave.,Escondido,92026-1512,CA,(760) 432-2491,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,33.157721,-117.08255,6/18/2015,1219,-8.4,-23.1,2,-57.1,-72.3,15.3,340,28%,886,73%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37680986093215,Escondido Union,Hidden Valley Middle,2700 Reed Road,2700 Reed Rd.,Escondido,92027-1629,CA,(760) 432-2457,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,33.133732,-117.03329,6/18/2015,1022,-33.9,-44.6,2,-83.6,-96.3,12.7,355,35%,903,88%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37680986038194,Escondido Union,Del Dios Academy of Arts and Sciences,1400 West Ninth Avenue,1400 West Ninth Ave.,Escondido,92025-2204,CA,(760) 432-2439,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,33.11037,-117.10117,9/2/2015,822,-47.9,-59.1,2,-105.3,-108.8,3.5,332,40%,722,88%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37680986038210,Escondido Union,Mission Middle,939 East Mission Avenue,939 East Mission Ave.,Escondido,92026-2216,CA,(760) 432-2452,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,33.13394,-117.07324,9/2/2015,963,-36.9,-53.2,2,-84.1,-92.8,8.6,453,47%,926,96%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681556097182,Jamul-Dulzura Union Elementary,Oak Grove Middle,14344 Olive Vista Drive,14344 Olive Vista Dr.,Jamul,91935-3223,CA,(619) 669-2700,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.722358,-116.86159,6/18/2015,231,5.6,2.1,3,-39.1,-31.1,-7.9,36,16%,107,46%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681636105845,Julian Union Elementary,Julian Junior High,1704 Cape Horn,1704 Cape Horn,Julian,92036-0337,CA,(760) 765-0575,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,33.07808,-116.59581,11/9/2016,107,28.6,14.1,4,3.8,-21.5,25.3,5,5%,60,56%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681896038350,Lakeside Union Elementary,Lakeside Middle,11833 Woodside Avenue,11833 Woodside Ave.,Lakeside,92040-0578,CA,(619) 390-2636,9/1/1936,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.85513,-116.93804,6/18/2015,791,15.2,10.7,4,-43.4,-40,-3.5,30,4%,338,43%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681896085047,Lakeside Union Elementary,Tierra del Sol Middle,9611 Petite Lane,9611 Petite Ln.,Lakeside,92040-4317,CA,(619) 390-2670,9/1/1972,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.854481,-116.91164,6/18/2015,703,-5.3,-14.1,2,-53.6,-76.6,23.1,51,7%,332,47%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37683126070908,Rancho Santa Fe Elementary,R. Roger Rowe Middle,5927 La Granada,5927 La Granada,Rancho Santa Fe,92067-0809,CA,(858) 756-1141,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,33.021758,-117.20694,1/19/2017,234,104.0,61.4,5,89.7,45.1,44.6,5,2%,3,1%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681893731072,Lakeside Union Elementary,River Valley Charter,9707 1/2 Marilla Drive,9707 1/2 Marilla Dr.,Lakeside,92040-2868,CA,(619) 390-2579,9/8/1997,Y,Elementary School District,,High Schools (Public),7-12,32.853156,-116.94065,2/16/2017,297,74.9,85.4,0,20.2,53.8,-33.7,2,1%,19,6%,140,43,31%,0,5,20,10,8,0%,12%,47%,23%,19%
37681146038277,Fallbrook Union Elementary,James E. Potter Intermediate,1743 Reche Road,1743 Reche Rd.,Fallbrook,92028-2108,CA,(760) 731-4150,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),7-8,33.369188,-117.22164,12/17/2015,849,-16.8,-18.5,2,-60.8,-48.7,-12,227,27%,579,68%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681976038558,La Mesa-Spring Valley,Parkway Middle,9009 Park Plaza Drive,9009 Park Plaza Dr.,La Mesa,91942-3400,CA,(619) 668-5810,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),7-8,32.791277,-117.00293,6/18/2015,772,24.2,21.5,4,-5.3,-14,8.7,50,6%,319,41%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37683796098453,San Ysidro Elementary,San Ysidro Middle,4345 Otay Mesa Road,4345 Otay Mesa Rd.,San Ysidro,92173-1623,CA,(619) 428-5551,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),7-8,32.562958,-117.03832,7/20/2016,515,-43.7,-36.3,2,-101.2,-100.9,-0.3,321,62%,387,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681896038392,Lakeside Union Elementary,Winter Gardens Elementary,8501 Pueblo Road,8501 Pueblo Rd.,Lakeside,92040-5406,CA,(619) 390-2687,9/1/1961,N,Elementary School District,,Elementary Schools (Public),K-1,32.831458,-116.93122,8/15/2016,368,N/A,N/A,N/A,N/A,N/A,N/A,4,1%,72,20%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37680236037980,Chula Vista Elementary,Mueller Charter (Robert L.),715 I Street,715 I St.,Chula Vista,91910-5112,CA,(619) 422-6192,7/1/1980,Y,Elementary School District,,K-12 Schools (Public),K-12,32.626229,-117.09284,1/6/2017,1364,9.2,-7.5,3,-18.4,-35.3,16.8,617,45%,1093,80%,89,19,21%,0,0,2,8,9,0%,0%,11%,42%,47%
37680236115778,Chula Vista Elementary,Chula Vista Learning Community Charter,590 K Street,590 K St.,Chula Vista,91911-1118,CA,(619) 426-2885,9/8/1998,Y,Elementary School District,,K-12 Schools (Public),K-12,32.620687,-117.08495,4/20/2016,1530,18.7,7.5,0,-43.4,-27.4,-16,594,39%,932,61%,198,88,44%,65,40,34,22,14,74%,45%,39%,25%,16%
37680490132506,Dehesa Elementary,Inspire Charter School - South,4612 Dehesa Road,4612 Dehesa Rd.,El Cajon,92019-2922,CA,(626) 932-1802,7/1/2015,Y,Elementary School District,,K-12 Schools (Public),K-12,32.781118,-116.84889,2/11/2016,2995,-32.6,N/A,0,-89.8,N/A,N/A,118,4%,781,26%,164,0,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37680490119990,Dehesa Elementary,Diego Hills Charter,4585 College Avenue,4585 College Ave.,San Diego,92115-4011,CA,(619) 286-0312,7/1/2009,Y,Elementary School District,,K-12 Schools (Public),K-12,32.760546,-117.06699,5/17/2017,1152,N/A,N/A,N/A,N/A,N/A,N/A,162,14%,910,79%,989,1,0%,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A
37680496119564,Dehesa Elementary,Dehesa Charter,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,(760) 743-7880,10/15/2001,Y,Elementary School District,,K-12 Schools (Public),K-12,33.129838,-117.11193,6/18/2015,1057,-37.6,-29.5,0,-86,-79.3,-6.7,22,2%,239,23%,202,3,1%,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A
37681556117303,Jamul-Dulzura Union Elementary,Greater San Diego Academy,13881 Campo Road,13881 Campo Rd.,Jamul,91935-3208,CA,(619) 669-3050,8/30/1999,Y,Elementary School District,,K-12 Schools (Public),K-12,32.71724,-116.87706,8/18/2016,242,26.2,3.6,0,-26.4,-55.2,28.9,15,6%,101,42%,64,0,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681630128421,Julian Union Elementary,Harbor Springs Charter,1704 Cape Horn,1704 Cape Horn,Julian,92036,CA,(951) 252-8800,8/27/2013,Y,Elementary School District,,K-12 Schools (Public),K-12,33.078652,-116.59486,4/24/2017,752,-10.5,-19.2,0,-47.8,-53.9,6.1,132,18%,353,47%,43,0,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681630124271,Julian Union Elementary,Diego Valley Charter,511 North 2nd Street,511 North 2nd St.,El Cajon,92021-6449,CA,(619) 870-0608,9/6/2011,Y,Elementary School District,,K-12 Schools (Public),K-12,32.800561,-116.93563,2/6/2017,755,N/A,N/A,N/A,N/A,N/A,N/A,144,19%,611,81%,593,1,0%,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A
37681633731239,Julian Union Elementary,Julian Charter,1704 Cape Horn,1704 Cape Horn,Julian,92036,CA,(760) 765-3847,11/22/1999,Y,Elementary School District,,K-12 Schools (Public),K-12,33.07808,-116.59581,4/5/2017,2551,17.7,11.6,0,-34,-37.8,3.8,50,2%,860,34%,442,3,1%,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A
37681890118323,Lakeside Union Elementary,National University Academy,2030 University Drive,2030 University Dr.,Vista,92083-7736,CA,(760) 631-5842,9/2/2008,Y,Elementary School District,,K-12 Schools (Public),K-12,33.170564,-117.22039,2/22/2017,878,N/A,N/A,N/A,N/A,N/A,N/A,84,10%,320,36%,117,3,3%,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A
37684030125401,Spencer Valley Elementary,Insight @ San Diego,50 Moreland Road,50 Moreland Rd.,Simi Valley,93065-1800,CA,(805) 581-0202,9/26/2011,Y,Elementary School District,,K-12 Schools (Public),K-12,34.275868,-118.79798,2/7/2017,174,-63.6,0.0,0,-183.3,0,0,8,5%,99,57%,134,0,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37684036120893,Spencer Valley Elementary,California Virtual Academy @ San Diego,50 Moreland Road,50 Moreland Rd.,Simi Valley,93065-1800,CA,(805) 581-0202,9/9/2002,Y,Elementary School District,,K-12 Schools (Public),K-12,34.275868,-118.79798,2/7/2017,2067,-14.6,-18.3,0,-68.9,-66.4,-2.5,69,3%,1078,52%,804,5,1%,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A
37684370128470,Vallecitos Elementary,Taylion San Diego Academy,100 North Rancho Sante Fe Road #110,100 North Rancho Sante Fe Rd. #110,San Marcos,92069-1279,CA,(760) 295-5564,9/1/2013,Y,Elementary School District,,K-12 Schools (Public),K-12,33.151721,-117.19884,4/15/2017,136,0.0,0.0,0,0,0,0,7,5%,95,70%,55,0,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
